room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
7882321,1360,8535044,Entire home/apt,,Frankfurt,,Ostend,23,5.0,4,2.0,,95.0,,2017-06-22 15:34:16.277401,50.11854,8.709364,0101000020E610000064EB19C2316B214049A297512C0F4940
8948944,1360,46775204,Entire home/apt,,Frankfurt,,Niederrad,11,4.5,4,2.0,,173.0,,2017-06-22 15:33:46.183588,50.091717,8.652656,0101000020E61000008C135FED284E21405EBEF561BD0B4940
11630046,1360,14513835,Entire home/apt,,Frankfurt,,Altstadt,6,4.5,4,2.0,,69.0,,2017-06-22 15:33:15.526601,50.113039,8.683519,0101000020E6100000A663CE33F65D21401616DC0F780E4940
12938021,1360,41293116,Entire home/apt,,Frankfurt,,Westend-Süd,7,5.0,3,1.0,,58.0,,2017-06-22 15:33:05.488577,50.120328,8.66748,0101000020E6100000D97745F0BF55214084656CE8660F4940
1003688,1360,3796869,Entire home/apt,,Frankfurt,,Bahnhofsviertel,8,4.5,2,1.0,,356.0,,2017-06-22 15:32:47.636976,50.109073,8.662139,0101000020E6100000F2CF0CE20353214035F0A31AF60D4940
9786087,1360,50442454,Entire home/apt,,Frankfurt,,Gallus,6,4.0,10,3.0,,346.0,,2017-06-22 15:32:47.632955,50.10369,8.638536,0101000020E610000027A3CA30EE4621400C76C3B6450D4940
16945747,1360,69316725,Entire home/apt,,Frankfurt,,Altstadt,0,0.0,3,3.0,,247.0,,2017-06-22 15:32:39.697207,50.111428,8.681878,0101000020E610000049B9FB1C1F5D2140E9EDCF45430E4940
18970216,1360,10243006,Entire home/apt,,Frankfurt,,Bornheim,0,0.0,7,4.0,,294.0,,2017-06-22 15:32:39.692484,50.130728,8.705689,0101000020E61000003C4B901150692140F355F2B1BB104940
15854255,1360,33437173,Entire home/apt,,Frankfurt,,Nordend-West,0,0.0,4,2.0,,288.0,,2017-06-22 15:32:39.689019,50.129401,8.684961,0101000020E610000027124C35B35E2140EC88433690104940
8386321,1360,2748635,Entire home/apt,,Frankfurt,,Nordend-West,7,5.0,5,2.0,,241.0,,2017-06-22 15:32:39.680626,50.122381,8.677793,0101000020E61000005BEA20AF075B21406D533C2EAA0F4940
693528,1360,3049843,Entire home/apt,,Frankfurt,,Gutleutviertel,50,5.0,2,1.0,,208.0,,2017-06-22 15:32:37.875707,50.100961,8.663072,0101000020E610000060C9552C7E532140F295404AEC0C4940
8025609,1360,39362525,Entire home/apt,,Frankfurt,,Westend-Süd,4,4.5,2,1.0,,167.0,,2017-06-22 15:32:29.040598,50.116457,8.656262,0101000020E61000001137A79201502140F4311F10E80E4940
10197697,1360,52384618,Entire home/apt,,Frankfurt,,Gallus,0,0.0,2,1.0,,156.0,,2017-06-22 15:32:23.785451,50.108032,8.650016,0101000020E6100000E4C0ABE5CE4C2140F37519FED30D4940
3885290,1360,20094112,Entire home/apt,,Frankfurt,,Ostend,4,5.0,3,1.0,,160.0,,2017-06-22 15:32:23.778879,50.117279,8.708179,0101000020E61000008F6D1970966A2140F9C08EFF020F4940
3878835,1360,2386832,Entire home/apt,,Frankfurt,,Nordend-West,5,5.0,3,1.0,,148.0,,2017-06-22 15:32:21.157182,50.131647,8.689955,0101000020E6100000616C21C841612140EACE13CFD9104940
496878,1360,2387219,Entire home/apt,,Frankfurt,,Bockenheim,4,4.5,2,1.0,,155.0,,2017-06-22 15:32:21.148720,50.120407,8.620848,0101000020E6100000F392FFC9DF3D2140D09A1F7F690F4940
